#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
36.725	501	36.751	535
36.777	481	36.802	514
36.827	461	36.852	493
36.878	442	36.904	472
36.928	421	36.954	456
36.979	405	37.005	441
37.030	392	37.055	430
37.081	382	37.106	424
37.131	376	37.157	422
37.182	375	37.208	425
37.232	378	37.258	433
37.284	385	37.309	444
37.334	397	37.359	460
37.385	412	37.411	478
37.435	429	37.461	498
37.486	448	37.512	518
37.536	469	37.562	539
37.588	489	37.613	559
37.638	508	37.663	576
37.689	525	37.715	589
37.739	538	37.765	600
37.790	549	37.816	605
37.841	555	37.866	607
37.892	556	37.917	603
37.942	553	37.968	596
37.993	545	38.019	584
38.043	534	38.069	569
38.095	518	38.120	550
38.145	500	38.170	530
38.196	481	38.222	510
38.246	460	38.272	490
38.297	441	38.323	471
38.347	422	38.373	454
38.399	405	38.424	441
38.449	392	38.474	431
38.500	382	38.526	426
38.550	377	38.576	425
38.601	375	38.627	429
38.652	378	38.677	437
38.703	386	38.728	449
38.753	397	38.779	465
38.804	413	38.830	482
38.854	430	38.880	502
38.906	449	38.931	522
38.956	469	38.981	543
39.007	490	39.033	561
39.057	508	39.083	577
39.108	525	39.134	590
39.159	539	39.184	599
39.210	548	39.235	604
39.260	554	39.285	604
39.311	555	39.337	599
39.361	552	39.387	592
39.412	545	39.438	581
39.463	532	39.488	564
39.514	518	39.539	546
39.564	500	39.590	526
39.615	480	39.641	507
39.665	460	39.691	487
39.717	440	39.742	469
39.767	421	39.792	453
39.818	405	39.844	442
39.868	391	39.894	433
39.919	382	39.945	428
39.970	375	39.995	428
40.021	375	40.046	433
40.071	379	40.096	441
40.122	387	40.148	454
40.172	398	40.198	469
40.223	414	40.249	487
40.274	431	40.299	506
40.325	451	40.350	526
40.376	470	40.401	545
40.426	491	40.452	564
40.477	509	40.502	577
40.528	526	40.553	589
40.579	539	40.603	598
40.629	549	40.655	601
40.680	554	40.705	601
40.730	555	40.756	595
40.782	553	40.806	587
40.832	544	40.857	574
40.883	532	40.907	559
40.933	517	40.959	541
40.984	498	41.009	522
41.034	479	41.060	504
41.086	458	41.110	485
41.136	438	41.161	468
41.187	420	41.212	454
41.237	404	41.263	442
41.288	391	41.313	434
41.339	381	41.364	431
41.390	376	41.414	431
41.440	376	41.466	437
41.491	380	41.516	446
41.541	388	41.567	459
41.593	400	41.617	474
41.643	415	41.668	491
41.694	433	41.719	510
41.744	452	41.770	529
41.795	472	41.820	547
41.845	492	41.871	563
41.897	511	41.921	577
41.947	527	41.972	588
41.998	540	42.023	595
42.048	550	42.074	598
42.099	555	42.124	597
42.150	556	42.175	592
42.201	551	42.225	582
