#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
31.656	408	31.682	482
31.707	423	31.733	485
31.757	437	31.783	492
31.809	449	31.834	499
31.859	459	31.884	508
31.910	466	31.936	518
31.960	470	31.986	529
32.011	469	32.037	540
32.062	466	32.087	549
32.113	460	32.138	557
32.163	450	32.189	565
32.214	439	32.240	569
32.264	426	32.290	572
32.316	412	32.341	573
32.366	397	32.391	570
32.417	384	32.443	566
32.467	370	32.493	558
32.518	360	32.544	550
32.568	352	32.594	540
32.620	347	32.645	529
32.670	345	32.695	518
32.721	346	32.747	507
32.771	350	32.797	497
32.822	356	32.848	489
32.873	365	32.898	482
32.924	377	32.949	477
32.974	390	33.000	475
33.025	403	33.051	476
33.075	416	33.101	479
33.127	428	33.152	485
33.177	440	33.202	493
33.228	449	33.254	502
33.278	456	33.304	513
33.329	460	33.355	524
33.379	462	33.405	536
33.431	460	33.456	547
33.481	456	33.506	557
33.532	447	33.558	566
33.582	438	33.608	573
33.633	428	33.659	576
33.685	415	33.709	577
33.735	403	33.760	576
33.786	391	33.811	572
33.836	380	33.862	565
33.887	370	33.912	556
33.938	363	33.963	546
33.989	357	34.013	534
34.039	354	34.065	523
34.090	354	34.115	510
34.140	357	34.166	499
34.192	361	34.216	488
34.242	369	34.267	481
34.293	378	34.317	474
34.343	388	34.369	472
34.394	399	34.419	471
34.444	410	34.470	474
34.496	421	34.520	479
34.546	431	34.571	486
34.597	440	34.622	496
34.647	446	34.673	508
34.698	450	34.723	519
34.749	452	34.774	532
34.800	451	34.824	544
34.850	448	34.876	556
34.901	443	34.926	566
34.951	437	34.977	574
35.003	427	35.027	579
35.053	417	35.078	582
35.104	407	35.128	580
35.154	398	35.180	578
35.205	388	35.230	572
35.255	379	35.281	562
35.307	373	35.331	552
35.357	368	35.382	539
35.408	365	35.433	527
35.458	364	35.484	514
35.509	365	35.534	501
35.560	368	35.585	490
35.611	373	35.635	480
35.661	380	35.687	473
35.712	388	35.737	468
35.762	397	35.788	467
35.814	406	35.838	469
35.864	415	35.889	473
35.915	422	35.939	480
35.965	431	35.991	490
36.016	436	36.041	501
36.066	440	36.092	514
36.118	442	36.142	528
36.168	442	36.193	541
36.219	440	36.244	554
36.269	437	36.295	566
36.320	432	36.345	574
36.371	425	36.396	581
36.422	418	36.446	584
36.472	410	36.498	584
36.523	403	36.548	581
36.573	396	36.599	576
36.625	389	36.649	568
36.675	383	36.700	557
36.726	378	36.750	545
36.776	376	36.802	532
36.827	374	36.853	518
36.877	375	36.903	504
36.929	376	36.954	493
36.979	380	37.004	481
37.030	384	37.056	473
37.080	390	37.106	467
37.131	396	37.157	465
37.182	403	37.207	465
37.233	411	37.258	469
37.283	416	37.309	476
37.334	421	37.360	485
37.384	426	37.410	497
37.436	429	37.461	509
37.486	431	37.511	524
37.537	432	37.563	537
37.587	432	37.613	551
37.638	429	37.664	562
37.688	426	37.714	572
37.740	422	37.765	580
37.790	417	37.815	584
37.841	412	37.867	587
37.891	407	37.917	585
37.942	401	37.968	579
37.993	396	38.018	573
38.044	392	38.069	562
38.094	389	38.120	550
38.145	386	38.171	537
38.195	385	38.221	523
38.247	384	38.272	509
38.297	386	38.322	496
38.348	388	38.374	484
38.398	390	38.424	475
38.449	393	38.475	468
38.499	398	38.525	464
38.551	402	38.576	464
38.601	406	38.626	466
38.652	411	38.678	472
38.702	414	38.728	481
38.753	417	38.779	492
38.804	420	38.829	505
38.855	421	38.880	518
38.905	421	38.931	533
38.956	422	38.982	546
39.006	421	39.032	559
39.058	420	39.083	570
39.108	417	39.133	579
39.159	415	39.185	584
39.209	412	39.235	587
39.260	408	39.286	586
39.310	405	39.336	582
39.362	402	39.387	576
39.412	400	39.437	566
39.463	398	39.489	555
39.513	396	39.539	542
39.564	395	39.590	528
39.615	395	39.640	514
39.666	395	39.691	500
39.716	396	39.742	487
39.767	396	39.793	478
39.817	399	39.843	470
39.869	400	39.894	465
39.919	403	39.944	463
39.970	404	39.996	465
40.020	406	40.046	470
40.071	408	40.097	478
40.121	409	40.147	488
40.173	411	40.198	500
40.223	411	40.248	513
40.274	412	40.300	527
40.324	412	40.350	542
40.375	412	40.401	555
40.426	412	40.451	566
40.477	411	40.502	576
40.528	410	40.553	582
40.578	410	40.604	586
40.629	408	40.654	586
40.680	408	40.705	583
40.731	407	40.755	578
40.781	407	40.807	570
40.832	406	40.857	559
40.882	405	40.908	546
40.934	405	40.958	533
40.984	405	41.009	518
41.035	405	41.059	505
