#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 11:24:22 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
53.251	501	53.277	500
53.301	500	53.327	503
53.353	501	53.378	508
53.403	501	53.428	515
53.454	501	53.480	523
53.504	501	53.530	531
53.555	502	53.581	541
53.606	501	53.631	550
53.657	501	53.682	558
53.707	501	53.733	566
53.758	501	53.784	573
53.808	501	53.834	577
53.860	501	53.885	580
53.910	501	53.935	581
53.961	501	53.987	580
54.011	501	54.037	576
54.062	501	54.088	571
54.113	501	54.138	564
54.164	500	54.189	557
54.214	501	54.239	548
54.265	501	54.291	538
54.315	501	54.341	528
54.366	501	54.392	521
54.417	501	54.442	513
54.468	501	54.493	507
54.518	501	54.544	503
54.569	501	54.595	500
54.619	500	54.645	500
54.671	500	54.696	501
54.721	501	54.746	505
54.772	501	54.798	510
54.822	501	54.848	517
54.873	500	54.899	525
54.924	501	54.949	533
54.975	500	55.000	542
55.025	500	55.050	551
55.076	500	55.102	559
55.126	501	55.152	566
55.177	501	55.203	572
55.228	501	55.253	576
55.279	501	55.304	579
55.329	501	55.355	580
55.380	501	55.406	578
55.430	501	55.456	574
55.482	501	55.507	569
55.532	501	55.557	562
55.583	501	55.609	555
55.633	501	55.659	546
55.684	501	55.710	537
55.735	501	55.760	528
55.786	501	55.811	520
55.836	501	55.861	513
55.887	500	55.913	508
55.937	500	55.963	504
55.988	501	56.014	501
56.039	501	56.064	501
56.090	500	56.115	503
56.140	501	56.166	507
56.191	500	56.217	512
56.241	501	56.267	518
56.293	501	56.318	526
56.343	501	56.368	534
56.394	501	56.420	543
56.444	501	56.470	551
56.495	501	56.521	560
56.546	501	56.571	567
56.597	501	56.622	572
56.647	501	56.673	576
56.698	501	56.724	578
56.748	501	56.774	579
56.799	501	56.825	576
56.850	501	56.875	573
56.901	501	56.926	568
56.952	501	56.977	561
57.002	501	57.028	553
57.053	501	57.078	544
57.104	501	57.129	536
57.155	501	57.179	527
57.205	500	57.231	520
57.256	501	57.281	513
57.306	501	57.332	508
57.358	501	57.382	504
57.408	501	57.433	502
57.459	501	57.484	502
57.509	500	57.535	504
57.560	501	57.585	508
57.610	501	57.636	513
57.662	501	57.686	520
57.712	501	57.737	527
57.763	501	57.788	536
