#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
42.098	394	42.123	581
42.148	398	42.174	578
42.200	404	42.224	570
42.250	413	42.275	562
42.301	426	42.326	551
42.351	440	42.377	537
42.402	456	42.427	522
42.453	472	42.478	508
42.504	488	42.528	495
42.554	501	42.580	482
42.605	514	42.630	472
42.655	523	42.681	464
42.707	529	42.731	459
42.757	532	42.782	457
42.808	531	42.832	459
42.858	526	42.884	464
42.909	517	42.934	471
42.959	506	42.985	482
43.011	493	43.035	495
43.061	477	43.086	508
43.112	461	43.137	523
43.162	446	43.188	536
43.213	431	43.238	550
43.264	418	43.289	561
43.315	407	43.339	571
43.365	400	43.391	577
43.416	396	43.441	579
43.466	396	43.492	579
43.518	399	43.542	574
43.568	405	43.593	567
43.619	415	43.643	558
43.669	427	43.695	546
43.720	443	43.746	533
43.770	458	43.796	519
43.822	475	43.847	505
43.872	489	43.897	493
43.923	504	43.949	481
43.973	515	43.999	472
44.024	525	44.050	464
44.075	530	44.100	460
44.126	531	44.151	460
44.176	529	44.202	462
44.227	524	44.253	467
44.277	514	44.303	475
44.329	503	44.354	485
44.379	488	44.404	498
44.430	474	44.456	512
44.480	457	44.506	525
44.531	441	44.557	540
44.581	427	44.607	551
44.633	415	44.658	562
44.683	405	44.708	570
44.734	399	44.760	576
44.784	396	44.810	578
44.835	396	44.861	576
44.886	401	44.911	573
44.937	409	44.962	565
44.987	420	45.013	556
45.038	432	45.064	544
45.088	446	45.114	531
45.140	462	45.165	517
45.190	478	45.215	504
45.241	493	45.267	491
45.291	506	45.317	479
45.342	517	45.368	471
45.392	524	45.418	464
45.444	528	45.469	460
45.494	530	45.519	460
45.545	527	45.571	463
45.595	521	45.621	469
45.646	510	45.672	478
45.697	499	45.722	489
45.748	486	45.773	501
45.798	471	45.824	515
45.849	455	45.875	528
45.899	440	45.925	541
45.951	426	45.976	553
46.001	414	46.026	563
46.052	406	46.078	570
46.102	400	46.128	574
46.153	397	46.179	576
46.203	398	46.229	574
46.255	402	46.280	569
46.305	411	46.330	562
46.356	422	46.382	552
46.406	435	46.432	541
46.457	450	46.483	528
46.508	465	46.533	515
46.559	480	46.584	502
46.609	494	46.635	490
46.660	508	46.686	479
46.710	518	46.736	471
46.762	525	46.787	465
46.812	528	46.837	462
46.863	529	46.889	463
46.913	525	46.939	466
46.964	519	46.990	473
47.014	508	47.040	481
47.066	496	47.091	492
47.116	482	47.141	504
47.167	467	47.193	517
47.217	452	47.243	530
47.268	437	47.294	542
47.319	423	47.344	553
47.370	412	47.395	563
47.421	404	47.446	569
47.471	399	47.497	573
47.522	398	47.547	575
47.573	399	47.598	573
47.624	405	47.648	568
47.674	414	47.700	560
47.725	425	47.750	549
47.775	438	47.801	538
47.827	453	47.851	525
47.877	469	47.902	512
47.928	483	47.952	500
47.978	497	48.004	488
48.029	509	48.054	478
48.079	519	48.105	470
48.131	524	48.155	465
48.181	528	48.206	463
48.232	527	48.257	465
48.282	523	48.308	468
48.333	516	48.358	475
48.384	506	48.409	484
48.435	493	48.459	495
48.485	479	48.511	507
48.536	464	48.561	520
48.586	449	48.612	532
48.638	436	48.662	544
48.688	422	48.713	555
48.739	411	48.763	563
48.789	404	48.815	570
48.840	400	48.865	573
48.890	399	48.916	573
48.942	401	48.966	570
48.992	407	49.017	565
49.043	416	49.068	556
49.093	428	49.119	547
49.144	441	49.169	535
49.195	456	49.220	522
49.246	471	49.270	510
49.296	485	49.322	498
49.347	499	49.372	486
49.397	509	49.423	477
49.449	519	49.473	471
49.499	525	49.524	466
49.550	527	49.574	465
49.600	526	49.626	467
49.651	522	49.676	471
49.701	513	49.727	478
49.753	503	49.777	487
49.803	491	49.828	498
49.854	477	49.879	510
49.904	461	49.930	523
49.955	447	49.980	535
50.006	433	50.031	546
50.057	421	50.081	555
50.107	411	50.133	564
50.158	404	50.183	569
50.208	400	50.234	572
50.260	400	50.284	571
50.310	404	50.335	568
50.361	409	50.385	562
50.411	419	50.437	553
50.462	431	50.488	544
50.512	445	50.538	531
50.564	459	50.589	519
50.614	474	50.639	507
50.665	487	50.691	495
50.715	502	50.741	485
50.766	511	50.792	477
50.817	519	50.842	471
50.868	525	50.893	467
50.918	526	50.944	467
50.969	525	50.995	469
51.019	519	51.045	474
51.071	511	51.096	481
51.121	500	51.146	490
51.172	487	51.198	501
51.222	473	51.248	513
51.273	458	51.299	525
51.323	444	51.349	537
51.375	431	51.400	548
51.425	419	51.450	557
51.476	411	51.502	565
51.526	405	51.552	569
51.577	401	51.603	571
51.628	402	51.653	569
51.679	405	51.704	564
51.729	412	51.755	559
51.780	422	51.806	550
51.830	434	51.856	540
51.882	448	51.907	529
51.932	461	51.957	517
51.983	475	52.009	505
52.033	489	52.059	494
52.084	502	52.110	484
52.134	512	52.160	477
52.186	519	52.211	471
52.236	524	52.261	468
52.287	525	52.313	468
52.337	523	52.363	471
52.388	517	52.414	476
52.439	509	52.464	484
52.490	498	52.515	494
52.540	484	52.566	504
52.591	471	52.617	516
52.641	457	52.667	528
52.693	442	52.718	539
52.743	430	52.768	550
52.794	418	52.820	558
52.844	409	52.870	564
52.895	404	52.921	568
52.945	401	52.971	569
52.997	402	53.022	567
53.047	407	53.072	563
53.098	415	53.124	556
53.148	424	53.174	548
53.199	436	53.225	537
53.250	449	53.275	525
53.301	464	53.326	514
53.351	478	53.377	503
53.402	491	53.428	493
53.452	503	53.478	483
53.504	513	53.529	476
53.554	520	53.579	472
53.605	524	53.631	469
53.655	524	53.681	470
53.706	521	53.732	473
53.757	515	53.782	479
53.808	506	53.833	487
53.858	495	53.883	496
53.909	482	53.935	507
53.959	468	53.985	518
54.010	454	54.036	530
54.061	440	54.086	541
54.112	428	54.137	551
54.162	417	54.188	559
