#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
24.965	507	24.990	486
25.016	507	25.040	476
25.066	507	25.092	467
25.117	507	25.142	463
25.167	506	25.193	457
25.219	506	25.243	456
25.269	506	25.294	457
25.320	506	25.345	460
25.370	506	25.396	467
25.421	507	25.446	474
25.472	507	25.497	484
25.523	507	25.547	495
25.573	507	25.599	506
25.624	507	25.649	517
25.674	507	25.700	528
25.726	507	25.750	538
25.776	507	25.801	547
25.827	507	25.851	553
25.877	507	25.903	557
25.928	508	25.953	558
25.978	507	26.004	557
26.030	507	26.054	553
26.080	507	26.105	547
26.131	507	26.156	539
26.181	508	26.207	529
26.232	506	26.257	519
26.283	507	26.308	507
26.334	506	26.358	496
26.384	506	26.410	486
26.435	507	26.460	475
26.485	506	26.511	469
26.537	506	26.561	463
26.587	507	26.612	459
26.638	506	26.662	457
26.688	507	26.714	458
26.739	506	26.765	462
26.789	506	26.815	468
26.841	506	26.866	476
26.891	506	26.916	485
26.942	507	26.968	496
26.992	507	27.018	507
27.043	507	27.069	518
27.094	507	27.119	528
27.145	508	27.170	538
27.195	507	27.221	546
27.246	507	27.272	552
27.296	507	27.322	555
27.348	507	27.373	556
27.398	507	27.423	556
27.449	507	27.475	551
27.499	507	27.525	546
27.550	507	27.576	537
27.600	507	27.626	528
27.652	507	27.677	518
27.702	506	27.727	507
27.753	506	27.779	497
27.803	507	27.829	486
27.854	506	27.880	477
27.905	507	27.930	469
27.956	506	27.981	464
28.006	507	28.032	460
28.057	506	28.083	458
28.107	507	28.133	460
28.159	506	28.184	463
28.209	507	28.234	470
28.260	507	28.286	478
28.310	507	28.336	486
28.361	506	28.387	497
28.411	507	28.437	507
28.463	507	28.488	518
28.513	507	28.538	528
28.564	507	28.590	537
28.614	507	28.640	545
28.665	507	28.691	551
28.716	507	28.741	554
28.767	507	28.792	555
28.817	507	28.843	554
28.868	507	28.894	550
28.918	507	28.944	544
28.970	507	28.995	536
29.020	507	29.045	527
29.071	507	29.097	518
29.121	507	29.147	507
29.172	506	29.198	496
29.222	507	29.248	487
29.274	507	29.299	478
29.324	506	29.349	471
29.375	507	29.401	466
29.425	506	29.451	462
29.476	506	29.502	460
29.527	506	29.552	462
29.578	507	29.603	466
29.628	507	29.654	472
29.679	507	29.705	480
29.729	506	29.755	488
29.781	507	29.806	498
29.831	506	29.856	508
29.882	507	29.908	518
29.932	507	29.958	528
29.983	507	30.009	537
30.033	507	30.059	544
30.085	507	30.110	550
30.135	507	30.160	553
30.186	507	30.212	554
30.236	507	30.262	552
30.287	507	30.313	549
30.338	507	30.363	542
30.389	507	30.414	535
30.440	507	30.465	526
30.490	507	30.516	517
30.541	505	30.566	506
30.592	507	30.617	497
30.643	506	30.667	487
30.693	506	30.719	479
30.744	506	30.769	471
30.794	507	30.820	467
30.846	506	30.870	463
30.896	507	30.921	462
30.947	507	30.971	464
30.997	506	31.023	467
31.048	506	31.073	473
31.098	507	31.124	480
31.150	507	31.174	489
31.200	506	31.225	499
31.251	507	31.276	508
31.301	507	31.327	519
31.352	507	31.377	528
31.403	507	31.428	536
31.454	507	31.478	543
31.504	507	31.530	548
31.555	507	31.580	552
31.605	507	31.631	552
31.657	507	31.681	551
31.707	507	31.732	547
31.758	507	31.782	541
31.808	507	31.834	533
31.859	507	31.884	525
31.909	507	31.935	516
31.961	507	31.985	508
32.011	506	32.036	496
32.062	507	32.087	487
32.112	507	32.138	479
32.163	506	32.188	473
32.214	506	32.239	468
32.265	506	32.289	465
32.315	506	32.341	463
32.366	507	32.391	465
32.416	506	32.442	468
32.468	507	32.492	475
32.518	507	32.543	482
32.569	508	32.593	490
32.619	507	32.645	499
32.670	507	32.695	509
32.720	506	32.746	518
32.772	507	32.796	528
32.822	507	32.847	537
32.873	507	32.898	543
32.923	507	32.949	548
32.974	507	32.999	550
33.025	507	33.050	551
33.076	507	33.100	549
33.126	507	33.152	545
33.177	507	33.202	540
33.227	507	33.253	532
33.279	507	33.303	524
33.329	507	33.354	515
33.380	507	33.404	506
33.430	506	33.456	496
33.481	506	33.507	487
33.531	506	33.557	480
33.583	506	33.608	473
33.633	507	33.658	469
33.684	506	33.710	466
33.734	507	33.760	465
33.785	507	33.811	467
33.836	507	33.861	471
33.887	506	33.912	476
33.937	506	33.963	483
33.988	507	34.014	491
34.038	507	34.064	500
34.090	507	34.115	510
34.140	507	34.165	519
34.191	507	34.217	527
34.241	506	34.267	536
34.292	507	34.318	542
34.342	507	34.368	546
34.394	507	34.419	549
34.444	507	34.469	549
34.495	506	34.521	548
34.545	507	34.571	544
34.596	507	34.622	538
34.647	507	34.672	532
34.698	507	34.723	523
34.748	507	34.774	514
34.799	507	34.825	505
34.849	507	34.875	496
34.901	507	34.926	487
34.951	507	34.976	481
35.002	506	35.028	475
35.052	506	35.078	471
35.103	506	35.129	468
35.153	506	35.179	466
35.205	506	35.230	469
35.255	507	35.280	472
35.306	506	35.332	478
35.356	507	35.382	485
35.407	507	35.433	493
35.458	506	35.483	501
35.509	507	35.534	510
35.559	507	35.585	519
35.610	507	35.636	528
35.660	507	35.686	535
35.712	506	35.737	541
35.762	507	35.787	545
35.813	508	35.839	547
35.863	507	35.889	548
35.914	507	35.940	547
35.964	507	35.990	542
36.016	508	36.041	537
36.066	507	36.091	530
36.117	506	36.143	523
36.167	507	36.193	514
36.218	507	36.244	505
36.269	507	36.294	496
36.320	507	36.345	488
36.370	506	36.396	481
36.421	507	36.447	475
36.471	506	36.497	471
36.523	506	36.548	469
36.573	506	36.598	468
36.624	507	36.650	470
36.674	507	36.700	473
36.725	507	36.751	479
36.776	506	36.801	485
36.827	508	36.852	493
36.877	507	36.902	501
36.928	506	36.954	511
36.978	507	37.004	519
37.029	507	37.055	528
37.080	507	37.105	535
37.131	507	37.156	541
37.181	507	37.207	544
37.232	507	37.258	546
37.282	507	37.308	547
37.334	507	37.359	546
37.384	507	37.409	541
37.435	507	37.461	535
37.485	506	37.511	528
37.536	507	37.562	521
37.587	507	37.612	513
37.638	506	37.663	503
37.688	507	37.713	495
37.739	506	37.765	488
37.789	507	37.815	481
37.840	506	37.866	476
37.891	507	37.916	472
37.942	506	37.967	470
37.993	506	38.018	469
38.043	506	38.069	471
38.094	507	38.119	474
38.145	505	38.170	480
38.196	506	38.220	487
38.246	507	38.272	494
38.297	506	38.322	502
38.347	507	38.373	511
38.399	507	38.423	519
38.449	507	38.474	528
38.500	507	38.524	535
38.550	507	38.576	540
38.601	508	38.626	545
38.651	508	38.677	546
38.703	508	38.727	546
38.753	507	38.778	544
38.804	507	38.829	540
38.854	507	38.880	534
38.905	506	38.930	527
38.956	506	38.981	520
39.007	506	39.031	512
39.057	505	39.083	503
39.108	505	39.133	494
39.158	506	39.184	487
39.210	506	39.234	481
39.260	506	39.285	477
39.311	506	39.336	474
39.361	507	39.387	471
39.412	507	39.437	471
39.462	507	39.488	473
39.514	507	39.538	477
39.564	507	39.589	482
39.615	507	39.640	489
39.665	508	39.691	496
39.716	507	39.741	504
39.767	507	39.792	512
39.818	507	39.842	520
39.868	507	39.894	527
39.919	507	39.944	534
39.969	507	39.995	539
40.021	507	40.045	543
40.071	507	40.096	544
40.122	507	40.147	544
40.172	507	40.198	543
40.223	507	40.248	539
40.273	507	40.299	533
40.325	507	40.349	527
40.375	506	40.400	519
40.426	506	40.451	511
40.476	506	40.502	504
40.527	506	40.552	496
40.578	506	40.603	488
40.629	506	40.653	482
40.679	506	40.705	477
40.730	506	40.755	474
40.780	506	40.806	472
40.832	507	40.856	472
40.882	507	40.907	474
40.933	508	40.958	477
40.983	508	41.009	482
41.034	508	41.060	489
41.084	507	41.110	497
41.136	507	41.161	504
41.186	507	41.211	513
41.237	507	41.263	520
41.287	507	41.313	528
41.338	506	41.364	533
41.389	506	41.414	539
41.440	506	41.465	542
41.490	506	41.516	543
41.541	507	41.567	543
41.591	506	41.617	541
41.643	506	41.668	537
41.693	506	41.718	532
41.744	506	41.770	525
41.794	506	41.820	518
41.845	507	41.871	511
41.896	507	41.921	503
41.947	507	41.972	496
41.997	507	42.022	488
42.048	507	42.074	483
42.098	506	42.124	479
42.149	507	42.175	476
42.200	506	42.225	474
42.251	505	42.276	474
42.301	506	42.327	475
42.352	507	42.378	479
42.402	507	42.428	484
42.454	507	42.479	490
42.504	507	42.529	497
42.555	506	42.581	505
42.605	507	42.631	512
42.656	508	42.682	520
42.707	507	42.732	527
42.758	507	42.783	532
42.808	507	42.833	537
42.859	506	42.885	541
42.909	506	42.935	542
42.960	507	42.986	542
43.011	507	43.036	540
43.062	506	43.087	536
43.112	506	43.138	531
43.163	506	43.189	524
43.213	506	43.239	518
43.265	506	43.290	510
43.315	507	43.340	503
43.366	506	43.392	496
43.416	507	43.442	489
43.467	507	43.493	483
43.518	507	43.543	479
43.569	507	43.594	477
43.619	507	43.644	475
43.670	507	43.696	474
43.720	508	43.746	477
43.771	507	43.797	480
43.822	507	43.847	485
43.873	507	43.898	491
43.923	506	43.949	498
43.974	507	44.000	505
44.024	506	44.050	513
44.076	506	44.101	520
44.126	506	44.151	527
44.177	506	44.203	533
44.227	506	44.253	537
44.278	507	44.304	540
44.329	507	44.354	541
44.380	506	44.405	540
44.430	507	44.456	538
44.481	507	44.507	535
44.531	506	44.557	529
44.582	506	44.608	523
44.633	507	44.658	517
44.684	507	44.709	509
44.735	507	44.760	502
44.785	506	44.811	495
44.836	506	44.861	489
44.887	506	44.912	484
44.938	506	44.962	480
44.988	507	45.014	478
45.039	507	45.064	476
45.089	507	45.115	477
45.141	507	45.165	478
45.191	508	45.216	482
45.242	507	45.267	486
45.292	507	45.318	493
45.343	507	45.368	499
45.393	506	45.419	506
45.445	506	45.469	512
45.495	506	45.520	520
45.546	506	45.571	527
45.596	506	45.622	532
45.647	506	45.672	536
45.698	506	45.723	539
45.749	506	45.773	540
45.799	506	45.825	539
45.850	506	45.875	537
45.900	507	45.926	533
45.952	507	45.976	528
46.002	508	46.027	522
46.053	507	46.078	516
46.103	506	46.129	509
46.154	507	46.179	502
46.204	507	46.230	496
46.256	507	46.280	490
46.306	507	46.331	485
46.357	507	46.382	481
46.407	507	46.433	478
46.458	507	46.483	477
46.509	507	46.534	478
46.560	507	46.584	479
46.610	507	46.636	483
46.661	506	46.686	488
46.711	507	46.737	493
46.763	507	46.787	500
46.813	507	46.838	507
46.864	507	46.889	513
46.914	507	46.940	520
46.965	507	46.990	526
47.016	506	47.041	531
47.067	506	47.091	534
47.117	506	47.142	537
47.168	506	47.193	538
47.218	507	47.244	538
47.269	506	47.294	536
47.320	507	47.345	532
47.371	507	47.395	527
47.421	507	47.447	521
47.472	507	47.497	516
47.522	507	47.548	509
47.574	507	47.598	502
47.624	508	47.649	496
47.675	508	47.700	490
47.725	507	47.751	485
47.776	507	47.802	482
47.827	507	47.852	480
47.878	507	47.903	479
47.928	507	47.953	479
47.979	507	48.005	480
48.029	506	48.055	484
48.080	507	48.106	489
48.131	506	48.156	494
48.182	507	48.207	501
48.232	507	48.258	507
48.283	506	48.309	514
48.333	507	48.359	520
48.385	506	48.410	526
48.435	506	48.460	531
48.486	506	48.512	535
48.536	507	48.562	537
48.587	507	48.613	538
48.638	506	48.663	536
48.689	506	48.714	534
48.739	506	48.764	530
48.790	507	48.816	527
48.840	507	48.866	521
48.891	507	48.917	515
48.942	507	48.967	508
48.993	507	49.018	502
49.043	507	49.069	496
49.094	507	49.120	491
49.144	507	49.170	486
49.196	507	49.221	483
49.246	508	49.271	481
49.297	506	49.323	480
49.347	506	49.373	481
49.398	506	49.424	482
49.449	506	49.474	485
49.500	506	49.525	490
49.550	506	49.576	496
49.601	506	49.627	501
49.651	506	49.677	508
49.702	506	49.728	514
49.753	506	49.778	520
49.804	507	49.829	526
49.854	507	49.880	530
49.905	506	49.931	534
49.955	507	49.981	535
50.007	507	50.032	537
50.057	507	50.082	535
50.108	507	50.134	533
50.158	507	50.184	530
50.209	507	50.235	526
50.260	507	50.285	520
50.311	509	50.336	514
50.361	507	50.387	508
50.412	507	50.438	502
50.462	507	50.488	496
50.513	507	50.539	491
50.564	506	50.589	487
50.615	507	50.640	485
50.665	507	50.691	482
50.716	506	50.742	481
50.766	506	50.792	481
50.818	507	50.843	483
50.868	507	50.893	487
50.919	506	50.945	490
50.969	507	50.995	496
51.020	506	51.046	502
51.071	506	51.096	508
51.122	506	51.147	514
51.172	507	51.198	521
51.223	506	51.249	525
51.273	507	51.299	529
51.324	507	51.350	532
51.375	507	51.400	534
51.426	507	51.451	535
51.476	508	51.502	534
51.527	507	51.553	532
51.577	508	51.603	528
51.629	507	51.654	524
51.679	507	51.704	519
51.730	507	51.756	513
51.780	507	51.806	508
51.831	507	51.857	502
51.882	506	51.907	496
51.933	507	51.958	492
51.983	506	52.009	487
52.034	507	52.060	485
52.084	506	52.110	483
52.136	506	52.161	482
52.186	506	52.211	483
52.237	506	52.262	485
52.287	506	52.313	487
52.338	506	52.364	491
52.388	506	52.414	497
52.440	507	52.465	503
52.490	507	52.515	508
52.541	507	52.567	514
52.591	507	52.617	520
52.642	507	52.668	525
52.693	507	52.718	529
52.744	507	52.769	532
52.794	507	52.820	533
52.845	507	52.871	534
52.895	507	52.921	534
52.947	507	52.972	531
52.997	507	53.022	527
53.048	507	53.073	523
53.098	507	53.124	518
53.149	507	53.175	511
53.199	507	53.225	507
53.251	507	53.276	501
53.301	507	53.326	497
53.352	507	53.378	492
53.402	506	53.428	488
53.453	506	53.479	486
53.504	506	53.529	484
53.555	506	53.580	484
53.605	506	53.631	484
53.656	506	53.682	486
53.706	507	53.732	489
53.758	506	53.783	493
53.808	506	53.833	498
53.859	506	53.884	504
53.909	507	53.935	509
53.960	507	53.986	515
54.010	507	54.036	520
54.062	507	54.087	524
54.112	507	54.137	528
54.163	508	54.189	531
54.213	507	54.239	532
54.264	507	54.290	533
54.315	507	54.340	532
54.366	507	54.391	530
54.416	507	54.442	527
54.467	507	54.493	522
54.517	507	54.543	518
54.569	506	54.594	512
54.619	507	54.644	507
54.670	507	54.696	501
54.720	507	54.746	497
54.771	506	54.797	492
54.821	506	54.847	489
54.873	506	54.898	487
54.923	506	54.948	485
54.974	506	55.000	485
55.024	506	55.050	485
55.075	506	55.101	487
55.126	507	55.151	490
55.177	507	55.202	494
55.227	506	55.253	499
55.278	507	55.304	504
55.328	507	55.354	509
55.380	507	55.405	515
55.430	508	55.455	520
55.481	507	55.507	524
55.531	507	55.557	527
55.582	507	55.608	530
55.632	507	55.658	532
55.684	507	55.709	531
55.734	507	55.759	531
55.785	507	55.811	528
55.835	507	55.861	525
55.886	508	55.912	522
55.937	507	55.962	517
55.988	507	56.013	511
56.038	507	56.064	506
56.089	507	56.115	501
56.139	507	56.165	497
56.191	506	56.216	493
56.241	506	56.266	489
56.292	506	56.318	487
56.342	506	56.368	486
56.393	506	56.419	486
56.443	506	56.469	487
56.495	507	56.520	488
56.545	506	56.570	491
56.596	507	56.622	495
56.646	507	56.672	500
56.697	507	56.723	504
56.748	507	56.773	510
56.799	508	56.824	515
56.849	507	56.875	520
56.900	507	56.926	524
56.950	507	56.976	527
57.002	507	57.027	529
57.052	508	57.077	530
57.103	507	57.129	530
57.153	507	57.179	529
57.204	506	57.230	527
57.254	507	57.280	524
57.306	507	57.331	520
57.357	507	57.381	515
57.407	506	57.433	511
57.458	507	57.483	507
57.508	507	57.534	502
57.560	506	57.584	497
57.610	506	57.635	493
57.661	507	57.686	490
57.711	506	57.737	488
57.762	506	57.787	487
